OBJECTID,CSA2010,math810,math811,math812,math813,math814,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,23.66071429,27.91,38.04,37.2222222222222,18.5430463576158,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,29.16666667,39.6,39.84,42.8571428571429,30.327868852459,37524.9505333862,47882527.7112373
3,Belair-Edison,30.60498221,44.76,38.04,38.5964912280702,21.2962962962962,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,32.5,26.5,38.05,26.056338028169,24,150987.70363871,176077742.748461
5,Canton,77.77777778,66.67,45.45,60,61.5384615384615,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,31.89655172,41.27,36.14,42.4107142857143,32.5791855203619,39962.5498346887,71541340.306082
7,Cherry Hill,33.9869281,32.73,29.73,31.9672131147541,15.0442477876106,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,30.3030303,37.29,41.54,44.4444444444444,26.5625,21705.411630324,21022590.1303212
9,Claremont/Armistead,32.58426966,43.21,48.72,46.7391304347826,32.6086956521739,40104.4159801772,61243774.4204004
10,Clifton-Berea,25.1572327,33.62,26.92,19.8473282442748,9.64912280701754,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,58.33333333,54.29,64.86,69.2307692307692,45.4545454545454,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,21.27659574,26.83,40,44.8275862068966,38.235294117647,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,31.3559322,38.18,31.13,41.2371134020619,29.5454545454545,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,23.52941176,25,33.33,47.3684210526316,44.4444444444444,21565.8593945388,20736554.4071934
15,Edmondson Village,31.68316832,31.4,32,25.2631578947368,35.6321839080459,21504.5513578719,23563061.0426838
16,Fells Point,42.85714286,42.86,72.73,54.5454545454545,47.3684210526315,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,17.3553719,30.12,32.46,41.3461538461538,32.258064516129,36886.899781185,37200535.0297002
18,Glen-Fallstaff,34.95145631,54.05,48.45,55.4455445544555,43.2989690721649,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,44.30379747,29.41,38.46,48.6486486486487,42.3076923076923,26454.2692113378,27051213.4555493
20,Greater Govans,43.41085271,36.21,41,35.2459016393443,23.6842105263157,22982.1257150065,22698495.7172767
